Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,
6|8|6|28|Pompeii|BASTILLE|2013-08-31|95|5|53|20140308,,,,,
7|9|7|22|Team|LORDE|2013-10-12|90|6|38|20140308,,,,,
8|4|4|16|Say Something|A GREAT BIG WORLD featuring CHRISTINA AGUILERA|2013-11-23|16|4|26|20140308,,,,,
9|6|2|36|Counting Stars|ONEREPUBLIC|2013-07-06|32|2|68|20140308,,,,,
10|7|1|20|Timber|PITBULL featuring KE$HA|2013-10-26|49|1|39|20140308,,,,,
11|10|5|30|Let Her Go|PASSENGER|2013-08-17|95|5|43|20140308,,,,,
12|12|6|17|Story Of My Life|ONE DIRECTION|2013-11-16|6|6|32|20140308,,,,,
13|16|13|8|The Man|ALOE BLACC|2014-01-18|79|8|19|20140308,,,,,
14|13|1|17|The Monster|EMINEM featuring RIHANNA|2013-11-16|3|1|29|20140308,,,,,
15|15|13|23|Burn|ELLIE GOULDING|2013-10-05|99|13|34|20140308,,,,,
16|17|16|15|Show Me|KID INK featuring CHIS BROWN|2013-11-30|68|13|30|20140308,,,,,
17|14|1|34|Royals|LORDE|2013-07-20|90|1|44|20140308,,,,,
18|18|18|13|Let It Go|IDINA MENZEL|2013-12-14|89|5|33|20140308,,,,,
19|19|6|24|Demons|IMAGINE DRAGONS|2013-09-28|46|6|41|20140308,,,,,
20|20|4|35|Wake Me Up!|AVICII|2013-07-13|81|4|53|20140308,,,,,
21|23|1|29|Roar|KATY PERRY|2013-08-24|85|1|35|20140308,,,,,
22|24|19|21|My Hitta|YG X JEEZY X RICH HOMIE QUAN|2013-10-19|67|19|28|20140308,,,,,
23|25|23|15|Best Day Of My Life|AMERICAN AUTHORS|2013-11-30|93|11|36|20140308,,,,,
24|27|24|12|Hey Brother|AVICII|2013-12-21|78|16|23|20140308,,,,,
25|21|21|9|Adore You|MILEY CYRUS|2014-01-11|22|21|16|20140308,,,,,
26|22|15|6|Can't Remember To Forget You|SHAKIRA featuring RIHANNA|2014-02-01|28|15|19|20140308,,,,,
27|26|3|76|Radioactive|IMAGINE DRAGONS|2012-09-29|91|3|85|20140308,,,,,
28|28|28|19|Chillin' It|COLE SWINDELL|2013-11-02|98|28|20|20140308,,,,,
29|32|29|9|Turn Down For What|DJ SNAKE & LIL JON|2014-01-11|38|4|37|20140308,,,,,
30|30|30|14|Love Me Again|JOHN NEWMAN|2013-12-07|85|30|18|20140308,,,,,
31|29|1|27|Wrecking Ball|MILEY CYRUS|2013-09-07|50|1|32|20140308,,,,,
32|35|32|8|Young Girls|BRUNO MARS|2014-01-18|94|32|14|20140308,,,,,
33|38|33|10|Paranoid|TY DOLLA $IGN featuring B.O.B|2014-01-04|97|29|20|20140308,,,,,
34|42|34|10|Bottoms Up|BRANTLEY GILBERT|2014-01-04|58|20|25|20140308,,,,,
35|34|4|29|Hold On, We're Going Home|DRAKE featuring MAJID JORDAN|2013-08-24|21|4|33|20140308,,,,
36|37|36|23|Animals|MARTIN GARRIX|2013-10-05|86|21|34|20140308,,,,,
37|31|31|16|Drink A Beer|LUKE BRYAN|2013-11-23|79|31|20|20140308,,,,,
38|36|36|9|Neon Lights|DEMI LOVATO|2014-01-11|96|36|20|20140308,,,,,
39|33|23|36|Brave|SARA BAREILLES|2013-07-06|100|23|41|20140308,,,,,
40|41|40|13|When She Says Baby|JASON ALDEAN|2013-12-14|93|38|20|20140308,,,,,
41|40|17|57|Sail|AWOLNATION|2013-02-09|63|17|59|20140308,,,,,
42|43|1|45|Blurred Lines|ROBIN THICKE featuring T.I. & PHARRELL|2013-05-04|94|1|48|20140308,,,,,
43|49|43|6|Doin' What She Likes|BLAKE SHELTON|2014-02-01|84|35|17|20140308,,,,,
44|46|8|43|Safe And Sound|CAPITAL CITIES|2013-05-18|99|8|43|20140308,,,,,
45|39|14|35|Sweater Weather|THE NEIGHBOURHOOD|2013-07-13|96|14|35|20140308,,,,,
46|50|46|16|Compass|LADY ANTEBELLUM|2013-11-23|87|46|20|20140308,,,,,
47|44|44|7|Give Me Back My Hometown|ERIC CHURCH|2014-01-25|95|36|20|20140308,,,,,
48|54|48|6|Loyal|CHRIS BROWN featuring LIL WAYNE & FRENCH MONTANA or & TOO SH|2014-02-01|82|9|36|20140308,,,,,
49|45|35|21|Whatever She's Got|DAVID NAIL|2013-10-19|91|35|21|20140308,,,,,
50|48|11|22|23|MIKE WILL MADE-IT feat MILEY CYRUS, WIZ KHALIFA & JUICY J|2013-10-12|11|11|22|20140308,,,,
51|53|51|12|Helluva Life|FRANKIE BALLARD|2013-12-21|89|51|20|20140308,,,,,
52|60|52|4|Cop Car|KEITH URBAN|2014-02-15|74|41|18|20140308,,,,,
53|58|53|10|I Hold On|DIERKS BENTLEY|2014-01-04|100|40|19|20140308,,,,,
54|57|54|11|See You Tonight|SCOTTY McCREERY|2013-12-28|86|52|16|20140308,,,,,
55|69|55|5|Na Na|TREY SONGZ|2014-02-08|91|21|28|20140308,,,,,
56|61|56|8|Drink To That All Night|JERROD NIEMANN|2014-01-18|90|34|20|20140308,,,,,
57|62|57|2|Everything Is AWESOME!!!|TEGAN AND SARA featuring THE LONELY ISLAND|2014-03-01|62|57|3|20140308,,,,,
58|59|7|19|Rap God|EMINEM|2013-11-02|7|7|20|20140308,,,,,
59|75|59|2|Stoner|YOUNG THUG|2014-03-01|75|47|15|20140308,,,,,
60|64|60|6|Take Me Home|CASH CASH featuring BEBE REXHA|2014-02-01|94|57|13|20140308,,,,,
61|55|38|13|Let It Go|DEMI LOVATO|2013-12-14|64|38|20|20140308,,,,,
62|65|62|14|Up Down (Do This All Day)|T-PAIN featuring B.O.B|2013-12-07|95|62|20|20140308,,,,,
63|67|58|6|Rewind|RASCAL FLATTS|2014-02-01|83|38|20|20140308,,,,,
64|71|64|8|19 You + Me|DAN + SHAY|2014-01-18|96|42|18|20140308,,,,,
65|70|60|8|Love Don't Die|THE FRAY|2014-01-18|81|60|9|20140308,,,,,
66|74|66|7|Get Me Some Of That|THOMAS RHETT|2014-01-25|94|41|20|20140308,,,,,
67|84|67|3|Human|CHRISTINA PERRI|2014-02-22|90|31|20|20140308,,,,,
68|86|68|2|This Is How We Roll|FLORIDA GEORGIA LINE featuring LUKE BRYAN|2014-03-01|86|15|27|20140308,,,,,
69|77|69|7|Goodnight Kiss|RANDY HOUSER|2014-01-25|93|52|16|20140308,,,,,
70|79|70|12|Do I Wanna Know?|ARCTIC MONKEYS|2013-12-21|99|70|20|20140308,,,,,
71|56|55|9|Do You Want To Build A Snowman?|KRISTEN BELL, AGATHA LEE MONN & KATIE LOPEZ|2014-01-11|65|51|18|20140308,,,,
72|72|63|15|The Language|DRAKE|2013-11-30|89|63|17|20140308,,,,,
73|82|73|6|Everything I Shouldn't Be Thinking About|THOMPSON SQUARE|2014-02-01|95|69|12|20140308,,,,,
74|87|74|3|The Worst|JHENE AIKO|2014-02-22|87|43|20|20140308,,,,,
75|73|14|18|Unconditionally|KATY PERRY|2013-11-09|30|14|20|20140308,,,,,
76|66|47|19|Friday Night|ERIC PASLAY|2013-11-02|91|47|20|20140308,,,,,
77|76|28|19|Stay|FLORIDA GEORGIA LINE|2013-11-02|85|28|20|20140308,,,,,
78|91|45|4|Odio|ROMEO SANTOS featuring DRAKE|2014-02-15|45|45|11|20140308,,,,,
79|81|66|10|Waiting For Superman|DAUGHTRY|2014-01-04|95|66|12|20140308,,,,,
80|90|80|3|Chocolate|THE 1975|2014-02-22|91|80|5|20140308,,,,,
81|NEW|81|1|Man Of The Year|SCHOOLBOY Q|2014-03-08|81|62|12|20140308,,,,,
82|78|57|9|For The First Time In Forever|KRISTEN BELL & IDINA MENZEL|2014-01-11|74|57|19|20140308,,,,,
83|85|80|7|Ride|SOMO|2014-01-25|100|76|15|20140308,,,,,
84|92|81|9|The Heart Of Dixie|DANIELLE BRADBERY|2014-01-11|93|81|10|20140308,,,,,
85|94|85|4|On Top Of The World|IMAGINE DRAGONS|2014-02-15|100|79|14|20140308,,,,,
86|68|13|18|Do What U Want|LADY GAGA featuring R. KELLY|2013-11-09|13|13|19|20140308,,,,,
87|89|85|5|They Don't Know|RICO LOVE|2014-02-08|100|73|7|20140308,,,,,
88|NEW|88|1|Glory And Gore|LORDE|2014-03-08|88|68|3|20140308,,,,,
89|97|89|3|Beat Of The Music|BRETT ELDREDGE|2014-02-22|97|44|20|20140308,,,,,
90|83|45|10|XO|BEYONCE|2014-01-04|66|45|10|20140308,,,,,
91|96|91|2|Classic|MKTO|2014-03-01|96|14|27|20140308,,,,,
92|98|92|3|Oceans (Where Feet May Fail)|HILLSONG UNITED|2014-02-22|94|83|11|20140308,,,,,
93|99|93|10|Worst Behavior|DRAKE|2014-01-04|94|93|10|20140308,,,,,
94|93|86|6|Thinking About You|CALVIN HARRIS featuring AYAH MARAR|2014-02-01|93|86|6|20140308,,,,,
95|NEW|95|1|Can't Raise A Man|K. MICHELLE|2014-03-08|95|95|5|20140308,,,,,
96|NEW|96|1|Part II (On The Run)|JAY Z featuring BEYONCE|2014-03-08|96|77|15|20140308,,,,,
97|95|70|7|Partition|BEYONCE|2014-01-25|90|23|21|20140308,,,,,
98|NEW|98|1|La La La|NAUGHTY BOY featuring SAM SMITH|2014-03-08|98|19|20|20140308,,,,,
99|NEW|99|1|Ordinary Love|U2|2014-03-08|99|99|1|20140308,,,,,
100|NEW|100|1|Lettin' The Night Roll|JUSTIN MOORE|2014-03-08|100|49|20|20140308,,,,,
1|1|1|22|Dark Horse|KATY PERRY featuring JUICY J|2013-10-05|17|1|57|20140301,,,,,
2|2|2|7|Happy|PHARRELL WILLIAMS|2014-01-18|98|1|47|20140301,,,,,
3|3|3|9|Talk Dirty|JASON DERULO featuring 2 CHAINZ|2014-01-04|89|3|33|20140301,,,,,
4|4|4|15|Say Something|A GREAT BIG WORLD featuring CHRISTINA AGUILERA|2013-11-23|16|4|26|20140301,,,,,
5|8|2|9|Drunk In Love|BEYONCE featuring JAY-Z|2014-01-04|12|2|20|20140301,,,,,
6|7|2|35|Counting Stars|ONEREPUBLIC|2013-07-06|32|2|68|20140301,,,,,
7|6|1|19|Timber|PITBULL featuring KE$HA|2013-10-26|49|1|39|20140301,,,,,
8|10|8|27|Pompeii|BASTILLE|2013-08-31|95|5|53|20140301,,,,,
9|9|8|21|Team|LORDE|2013-10-12|90|6|38|20140301,,,,,
10|5|5|29|Let Her Go|PASSENGER|2013-08-17|95|5|43|20140301,,,,,
11|15|11|16|All Of Me|JOHN LEGEND|2013-11-16|97|1|56|20140301,,,,,
12|13|6|16|Story Of My Life|ONE DIRECTION|2013-11-16|6|6|32|20140301,,,,,
13|11|1|16|The Monster|EMINEM featuring RIHANNA|2013-11-16|3|1|29|20140301,,,,,
14|12|1|33|Royals|LORDE|2013-07-20|90|1|44|20140301,,,,,
15|14|13|22|Burn|ELLIE GOULDING|2013-10-05|99|13|34|20140301,,,,,
16|17|16|7|The Man|ALOE BLACC|2014-01-18|79|8|19|20140301,,,,,
17|20|17|14|Show Me|KID INK featuring CHIS BROWN|2013-11-30|68|13|30|20140301,,,,,
18|18|18|12|Let It Go|IDINA MENZEL|2013-12-14|89|5|33|20140301,,,,,
19|16|6|23|Demons|IMAGINE DRAGONS|2013-09-28|46|6|41|20140301,,,,,
20|19|4|34|Wake Me Up!|AVICII|2013-07-13|81|4|53|20140301,,,,,
21|24|21|8|Adore You|MILEY CYRUS|2014-01-11|22|21|16|20140301,,,,,
22|21|15|5|Can't Remember To Forget You|SHAKIRA featuring RIHANNA|2014-02-01|28|15|19|20140301,,,,,
23|22|1|28|Roar|KATY PERRY|2013-08-24|85|1|35|20140301,,,,,
24|25|19|20|My Hitta|YG X JEEZY X RICH HOMIE QUAN|2013-10-19|67|19|28|20140301,,,,,
25|26|25|14|Best Day Of My Life|AMERICAN AUTHORS|2013-11-30|93|11|36|20140301,,,,,
26|23|3|75|Radioactive|IMAGINE DRAGONS|2012-09-29|91|3|85|20140301,,,,,
27|30|27|11|Hey Brother|AVICII|2013-12-21|78|16|23|20140301,,,,,
28|38|28|18|Chillin' It|COLE SWINDELL|2013-11-02|98|28|20|20140301,,,,,
29|27|1|26|Wrecking Ball|MILEY CYRUS|2013-09-07|50|1|32|20140301,,,,,
30|31|30|13|Love Me Again|JOHN NEWMAN|2013-12-07|85|30|18|20140301,,,,,
31|32|31|15|Drink A Beer|LUKE BRYAN|2013-11-23|79|31|20|20140301,,,,,
32|37|32|8|Turn Down For What|DJ SNAKE & LIL JON|2014-01-11|38|4|37|20140301,,,,,
33|28|23|35|Brave|SARA BAREILLES|2013-07-06|100|23|41|20140301,,,,,
34|29|4|28|Hold On, We're Going Home|DRAKE featuring MAJID JORDAN|2013-08-24|21|4|33|20140301,,,,
35|33|33|7|Young Girls|BRUNO MARS|2014-01-18|94|32|14|20140301,,,,,
36|46|36|8|Neon Lights|DEMI LOVATO|2014-01-11|96|36|20|20140301,,,,,
37|45|37|22|Animals|MARTIN GARRIX|2013-10-05|86|21|34|20140301,,,,,
38|42|38|9|Paranoid|TY DOLLA $IGN featuring B.O.B|2014-01-04|97|29|20|20140301,,,,,
39|34|14|34|Sweater Weather|THE NEIGHBOURHOOD|2013-07-13|96|14|35|20140301,,,,,
40|41|17|56|Sail|AWOLNATION|2013-02-09|63|17|59|20140301,,,,,
41|40|40|12|When She Says Baby|JASON ALDEAN|2013-12-14|93|38|20|20140301,,,,,
42|48|42|9|Bottoms Up|BRANTLEY GILBERT|2014-01-04|58|20|25|20140301,,,,,
43|39|1|44|Blurred Lines|ROBIN THICKE featuring T.I. & PHARRELL|2013-05-04|94|1|48|20140301,,,,,
44|52|44|6|Give Me Back My Hometown|ERIC CHURCH|2014-01-25|95|36|20|20140301,,,,,
45|35|35|20|Whatever She's Got|DAVID NAIL|2013-10-19|91|35|21|20140301,,,,,
46|43|8|42|Safe And Sound|CAPITAL CITIES|2013-05-18|99|8|43|20140301,,,,,
47|36|18|21|Stay The Night|ZEDD featuring HAYLEY WILLIAMS|2013-10-12|86|18|21|20140301,,,,,
48|47|11|21|23|MIKE WILL MADE-IT feat MILEY CYRUS, WIZ KHALIFA & JUICY J|2013-10-12|11|11|22|20140301,,,,
49|55|49|5|Doin' What She Likes|BLAKE SHELTON|2014-02-01|84|35|17|20140301,,,,,
50|53|50|15|Compass|LADY ANTEBELLUM|2013-11-23|87|46|20|20140301,,,,,
51|44|15|22|White Walls|MACKLEMORE & RYAN LEWIS featuring SCHOOLBOY Q & HOLLIS|2013-10-05|100|15|22|20140301,,,,,
52|51|30|20|It Won't Stop|SEVYN STREETER featuring CHRIS BROWN|2013-10-19|90|30|20|20140301,,,,,
53|61|53|11|Helluva Life|FRANKIE BALLARD|2013-12-21|89|51|20|20140301,,,,,
54|63|54|5|Loyal|CHRIS BROWN featuring LIL WAYNE & FRENCH MONTANA or & TOO SH|2014-02-01|82|9|36|20140301,,,,,
55|56|38|12|Let It Go|DEMI LOVATO|2013-12-14|64|38|20|20140301,,,,,
56|57|55|8|Do You Want To Build A Snowman?|KRISTEN BELL, AGATHA LEE MONN & KATIE LOPEZ|2014-01-11|65|51|18|20140301,,,,
57|62|57|10|See You Tonight|SCOTTY McCREERY|2013-12-28|86|52|16|20140301,,,,,
58|59|58|9|I Hold On|DIERKS BENTLEY|2014-01-04|100|40|19|20140301,,,,,
59|58|7|18|Rap God|EMINEM|2013-11-02|7|7|20|20140301,,,,,
60|73|60|3|Cop Car|KEITH URBAN|2014-02-15|74|41|18|20140301,,,,,
61|70|61|7|Drink To That All Night|JERROD NIEMANN|2014-01-18|90|34|20|20140301,,,,,
62|NEW|62|1|Everything Is AWESOME!!!|TEGAN AND SARA featuring THE LONELY ISLAND|2014-03-01|62|57|3|20140301,,,,,
63|NEW|63|1|Automatic|MIRANDA LAMBERT|2014-03-01|63|63|1|20140301,,,,,
64|67|64|5|Take Me Home|CASH CASH featuring BEBE REXHA|2014-02-01|94|57|13|20140301,,,,,
65|66|65|13|Up Down (Do This All Day)|T-PAIN featuring B.O.B|2013-12-07|95|62|20|20140301,,,,,
66|49|47|18|Friday Night|ERIC PASLAY|2013-11-02|91|47|20|20140301,,,,,
67|79|58|5|Rewind|RASCAL FLATTS|2014-02-01|83|38|20|20140301,,,,,
68|50|13|17|Do What U Want|LADY GAGA featuring R. KELLY|2013-11-09|13|13|19|20140301,,,,,
69|80|69|4|Na Na|TREY SONGZ|2014-02-08|91|21|28|20140301,,,,,
70|60|60|7|Love Don't Die|THE FRAY|2014-01-18|81|60|9|20140301,,,,,
71|72|71|7|19 You + Me|DAN + SHAY|2014-01-18|96|42|18|20140301,,,,,
72|71|63|14|The Language|DRAKE|2013-11-30|89|63|17|20140301,,,,,
73|68|14|17|Unconditionally|KATY PERRY|2013-11-09|30|14|20|20140301,,,,,
74|75|74|6|Get Me Some Of That|THOMAS RHETT|2014-01-25|94|41|20|20140301,,,,,
75|NEW|75|1|Stoner|YOUNG THUG|2014-03-01|75|47|15|20140301,,,,,
76|64|28|18|Stay|FLORIDA GEORGIA LINE|2013-11-02|85|28|20|20140301,,,,,
77|74|74|6|Goodnight Kiss|RANDY HOUSER|2014-01-25|93|52|16|20140301,,,,,
78|69|57|8|For The First Time In Forever|KRISTEN BELL & IDINA MENZEL|2014-01-11|74|57|19|20140301,,,,,
79|76|76|11|Do I Wanna Know?|ARCTIC MONKEYS|2013-12-21|99|70|20|20140301,,,,,
80|NEW|80|1|Achy Breaky 2|BUCK 22 featuring BILLY RAY CYRUS|2014-03-01|80|80|1|20140301,,,,,
81|78|66|9|Waiting For Superman|DAUGHTRY|2014-01-04|95|66|12|20140301,,,,,
82|77|77|5|Everything I Shouldn't Be Thinking About|THOMPSON SQUARE|2014-02-01|95|69|12|20140301,,,,,
83|65|45|9|XO|BEYONCE|2014-01-04|66|45|10|20140301,,,,,
84|90|84|2|Human|CHRISTINA PERRI|2014-02-22|90|31|20|20140301,,,,,
85|82|80|6|Ride|SOMO|2014-01-25|100|76|15|20140301,,,,,
86|NEW|86|1|This Is How We Roll|FLORIDA GEORGIA LINE featuring LUKE BRYAN|2014-03-01|86|15|27|20140301,,,,,
87|87|87|2|The Worst|JHENE AIKO|2014-02-22|87|43|20|20140301,,,,,
88|NEW|88|1|You're Mine (Eternal)|MARIAH CAREY|2014-03-01|88|88|1|20140301,,,,,
89|85|85|4|They Don't Know|RICO LOVE|2014-02-08|100|73|7|20140301,,,,,
90|91|90|2|Chocolate|THE 1975|2014-02-22|91|80|5|20140301,,,,,
91|83|45|3|Odio|ROMEO SANTOS featuring DRAKE|2014-02-15|45|45|11|20140301,,,,,
92|81|81|8|The Heart Of Dixie|DANIELLE BRADBERY|2014-01-11|93|81|10|20140301,,,,,
93|86|86|5|Thinking About You|CALVIN HARRIS featuring AYAH MARAR|2014-02-01|93|86|6|20140301,,,,,
94|93|93|3|On Top Of The World|IMAGINE DRAGONS|2014-02-15|100|79|14|20140301,,,,,
95|88|70|6|Partition|BEYONCE|2014-01-25|90|23|21|20140301,,,,,
96|NEW|96|1|Classic|MKTO|2014-03-01|96|14|27|20140301,,,,,
97|97|97|2|Beat Of The Music|BRETT ELDREDGE|2014-02-22|97|44|20|20140301,,,,,
98|94|94|2|Oceans (Where Feet May Fail)|HILLSONG UNITED|2014-02-22|94|83|11|20140301,,,,,
99|95|93|9|Worst Behavior|DRAKE|2014-01-04|94|93|10|20140301,,,,,
100|NEW|100|1|Explosions|ELLIE GOULDING|2014-03-01|100|100|1|20140301,,,,,
1|1|1|21|Dark Horse|KATY PERRY featuring JUICY J|2013-10-05|17|1|57|20140222,,,,,
2|8|2|6|Happy|PHARRELL WILLIAMS|2014-01-18|98|1|47|20140222,,,,,
3|4|3|8|Talk Dirty|JASON DERULO featuring 2 CHAINZ|2014-01-04|89|3|33|20140222,,,,,
4|7|4|14|Say Something|A GREAT BIG WORLD featuring CHRISTINA AGUILERA|2013-11-23|16|4|26|20140222,,,,,
5|6|5|28|Let Her Go|PASSENGER|2013-08-17|95|5|43|20140222,,,,,
6|3|1|18|Timber|PITBULL featuring KE$HA|2013-10-26|49|1|39|20140222,,,,,
7|5|2|34|Counting Stars|ONEREPUBLIC|2013-07-06|32|2|68|20140222,,,,,
8|2|2|8|Drunk In Love|BEYONCE featuring JAY-Z|2014-01-04|12|2|20|20140222,,,,,
9|10|8|20|Team|LORDE|2013-10-12|90|6|38|20140222,,,,,
10|11|10|26|Pompeii|BASTILLE|2013-08-31|95|5|53|20140222,,,,,
11|12|1|15|The Monster|EMINEM featuring RIHANNA|2013-11-16|3|1|29|20140222,,,,,
12|9|1|32|Royals|LORDE|2013-07-20|90|1|44|20140222,,,,,
13|14|6|15|Story Of My Life|ONE DIRECTION|2013-11-16|6|6|32|20140222,,,,,
14|16|13|21|Burn|ELLIE GOULDING|2013-10-05|99|13|34|20140222,,,,,
15|17|15|15|All Of Me|JOHN LEGEND|2013-11-16|97|1|56|20140222,,,,,
16|18|6|22|Demons|IMAGINE DRAGONS|2013-09-28|46|6|41|20140222,,,,,
17|21|16|6|The Man|ALOE BLACC|2014-01-18|79|8|19|20140222,,,,,
18|24|18|11|Let It Go|IDINA MENZEL|2013-12-14|89|5|33|20140222,,,,,
19|19|4|33|Wake Me Up!|AVICII|2013-07-13|81|4|53|20140222,,,,,
20|22|19|13|Show Me|KID INK featuring CHIS BROWN|2013-11-30|68|13|30|20140222,,,,,
21|15|15|4|Can't Remember To Forget You|SHAKIRA featuring RIHANNA|2014-02-01|28|15|19|20140222,,,,,
22|20|1|27|Roar|KATY PERRY|2013-08-24|85|1|35|20140222,,,,,
23|13|3|74|Radioactive|IMAGINE DRAGONS|2012-09-29|91|3|85|20140222,,,,,
24|25|22|7|Adore You|MILEY CYRUS|2014-01-11|22|21|16|20140222,,,,,
25|26|19|19|My Hitta|YG X JEEZY X RICH HOMIE QUAN|2013-10-19|67|19|28|20140222,,,,,
26|34|26|13|Best Day Of My Life|AMERICAN AUTHORS|2013-11-30|93|11|36|20140222,,,,,
27|27|1|25|Wrecking Ball|MILEY CYRUS|2013-09-07|50|1|32|20140222,,,,,
28|23|23|34|Brave|SARA BAREILLES|2013-07-06|100|23|41|20140222,,,,,
29|28|4|27|Hold On, We're Going Home|DRAKE featuring MAJID JORDAN|2013-08-24|21|4|33|20140222,,,,
30|37|30|10|Hey Brother|AVICII|2013-12-21|78|16|23|20140222,,,,,
31|33|31|12|Love Me Again|JOHN NEWMAN|2013-12-07|85|30|18|20140222,,,,,
32|35|32|14|Drink A Beer|LUKE BRYAN|2013-11-23|79|31|20|20140222,,,,,
33|38|33|6|Young Girls|BRUNO MARS|2014-01-18|94|32|14|20140222,,,,,
34|32|14|33|Sweater Weather|THE NEIGHBOURHOOD|2013-07-13|96|14|35|20140222,,,,,
35|39|35|19|Whatever She's Got|DAVID NAIL|2013-10-19|91|35|21|20140222,,,,,
36|30|18|20|Stay The Night|ZEDD featuring HAYLEY WILLIAMS|2013-10-12|86|18|21|20140222,,,,,
37|43|37|7|Turn Down For What|DJ SNAKE & LIL JON|2014-01-11|38|4|37|20140222,,,,,
38|41|38|17|Chillin' It|COLE SWINDELL|2013-11-02|98|28|20|20140222,,,,,
39|31|1|43|Blurred Lines|ROBIN THICKE featuring T.I. & PHARRELL|2013-05-04|94|1|48|20140222,,,,,
40|46|40|11|When She Says Baby|JASON ALDEAN|2013-12-14|93|38|20|20140222,,,,,
41|47|17|55|Sail|AWOLNATION|2013-02-09|63|17|59|20140222,,,,,
42|51|42|8|Paranoid|TY DOLLA $IGN featuring B.O.B|2014-01-04|97|29|20|20140222,,,,,
43|40|8|41|Safe And Sound|CAPITAL CITIES|2013-05-18|99|8|43|20140222,,,,,
44|29|15|21|White Walls|MACKLEMORE & RYAN LEWIS featuring SCHOOLBOY Q & HOLLIS|2013-10-05|100|15|22|20140222,,,,,
45|48|45|21|Animals|MARTIN GARRIX|2013-10-05|86|21|34|20140222,,,,,
46|64|46|7|Neon Lights|DEMI LOVATO|2014-01-11|96|36|20|20140222,,,,,
47|42|11|20|23|MIKE WILL MADE-IT feat MILEY CYRUS, WIZ KHALIFA & JUICY J|2013-10-12|11|11|22|20140222,,,,
48|58|48|8|Bottoms Up|BRANTLEY GILBERT|2014-01-04|58|20|25|20140222,,,,,
49|52|47|17|Friday Night|ERIC PASLAY|2013-11-02|91|47|20|20140222,,,,,
50|36|13|16|Do What U Want|LADY GAGA featuring R. KELLY|2013-11-09|13|13|19|20140222,,,,,
51|49|30|19|It Won't Stop|SEVYN STREETER featuring CHRIS BROWN|2013-10-19|90|30|20|20140222,,,,,
52|61|52|5|Give Me Back My Hometown|ERIC CHURCH|2014-01-25|95|36|20|20140222,,,,,
53|56|53|14|Compass|LADY ANTEBELLUM|2013-11-23|87|46|20|20140222,,,,,
54|53|20|20|All Me|DRAKE featuring 2 CHAINZ & BIG SEAN|2013-10-12|20|20|20|20140222,,,,,
55|63|55|4|Doin' What She Likes|BLAKE SHELTON|2014-02-01|84|35|17|20140222,,,,,
56|54|38|11|Let It Go|DEMI LOVATO|2013-12-14|64|38|20|20140222,,,,,
57|59|55|7|Do You Want To Build A Snowman?|KRISTEN BELL, AGATHA LEE MONN & KATIE LOPEZ|2014-01-11|65|51|18|20140222,,,,
58|55|7|17|Rap God|EMINEM|2013-11-02|7|7|20|20140222,,,,,
59|65|59|8|I Hold On|DIERKS BENTLEY|2014-01-04|100|40|19|20140222,,,,,
60|81|60|6|Love Don't Die|THE FRAY|2014-01-18|81|60|9|20140222,,,,,
61|72|61|10|Helluva Life|FRANKIE BALLARD|2013-12-21|89|51|20|20140222,,,,,
62|71|62|9|See You Tonight|SCOTTY McCREERY|2013-12-28|86|52|16|20140222,,,,,
63|80|63|4|Loyal|CHRIS BROWN featuring LIL WAYNE & FRENCH MONTANA or & TOO SH|2014-02-01|82|9|36|20140222,,,,,
64|57|28|17|Stay|FLORIDA GEORGIA LINE|2013-11-02|85|28|20|20140222,,,,,
65|50|45|8|XO|BEYONCE|2014-01-04|66|45|10|20140222,,,,,
66|67|65|12|Up Down (Do This All Day)|T-PAIN featuring B.O.B|2013-12-07|95|62|20|20140222,,,,,
67|79|67|4|Take Me Home|CASH CASH featuring BEBE REXHA|2014-02-01|94|57|13|20140222,,,,,
68|62|14|16|Unconditionally|KATY PERRY|2013-11-09|30|14|20|20140222,,,,,
69|66|57|7|For The First Time In Forever|KRISTEN BELL & IDINA MENZEL|2014-01-11|74|57|19|20140222,,,,,
70|76|70|6|Drink To That All Night|JERROD NIEMANN|2014-01-18|90|34|20|20140222,,,,,
71|73|63|13|The Language|DRAKE|2013-11-30|89|63|17|20140222,,,,,
72|85|72|6|19 You + Me|DAN + SHAY|2014-01-18|96|42|18|20140222,,,,,
73|74|73|2|Cop Car|KEITH URBAN|2014-02-15|74|41|18|20140222,,,,,
74|83|74|5|Goodnight Kiss|RANDY HOUSER|2014-01-25|93|52|16|20140222,,,,,
75|82|75|5|Get Me Some Of That|THOMAS RHETT|2014-01-25|94|41|20|20140222,,,,,
76|78|76|10|Do I Wanna Know?|ARCTIC MONKEYS|2013-12-21|99|70|20|20140222,,,,,
77|88|77|4|Everything I Shouldn't Be Thinking About|THOMPSON SQUARE|2014-02-01|95|69|12|20140222,,,,,
78|84|66|8|Waiting For Superman|DAUGHTRY|2014-01-04|95|66|12|20140222,,,,,
79|86|58|4|Rewind|RASCAL FLATTS|2014-02-01|83|38|20|20140222,,,,,
80|95|80|3|Na Na|TREY SONGZ|2014-02-08|91|21|28|20140222,,,,,
81|91|81|7|The Heart Of Dixie|DANIELLE BRADBERY|2014-01-11|93|81|10|20140222,,,,,
