source_name,review_date,critic_name,review_detail
National Review," November 4, 2016",Armond White," What [Desmond Doss] encountered in fulfilling his faith and duty is movingly depicted in the film, but it's the emotional undercurrent that makes Hacksaw Ridge extraordinary. "
Cinemalogue.com," November 4, 2016",Todd Jorgenson," While the message might not be subtle, it's driven home with heartfelt conviction."
AARP Movies for Grownups," November 4, 2016",Bill Newcott," Gibson makes his case that the best humanity can offer often arises amid the worst that humanity can inflict. There's no twisted pleasure in the making (or viewing) of this violence, only a solemn acknowledgment of the awful truth about war and bravery."
ScreenRant," November 4, 2016",Sandy Schaefer," Hacksaw Ridge is a grisly WWII movie that excels as an action/thriller, but has mixed success in realizing its loftier thematic ambitions."
Cinema Signals," November 24, 2016",Jules Brenner, A feel-good biopic about a WWII pacifist who earns the Congressional Medal of Honor with shots of morphine and a will of cast iron. Nominations could be part of the film's earnings.
El Nuevo Herald (Miami)," November 23, 2016",Pilar Ayuso," The best of this film is its great war scenes and the unique story of a man who decided that while others kill, he would save his life. [Full review in Spanish]"
Sensacine," November 22, 2016",Xavi Sánchez Pons," The film is a clear allegation against wars, where all the combat scenes are hallucinating. [Full review in Spanish]"
Your Movies (cleveland.com)," November 21, 2016",John Urbancich," It's an uncommonly bloody -- and still somehow sensitive -- telling, with the terrific Andrew Garfield, as the aw-shucks hero, mostly mixing and matching with a host of grand actors from Gibson's homeland."
Cairo360," November 16, 2016",Marija Loncarevic," Visually stunning, mercilessly bloody and utterly moving."
Arkansas Democrat-Gazette," November 15, 2016",Piers Marchant, Gibson's continued pouring over the blood-soaked effect of close combat doesn't advance the narrative as much as it announces the continued obsessions of its beleaguered progenitor.
Screen It!," November 11, 2016",Jim Judy," One can easily be led to believe this is just another of those green recruit goes to war and grows up stories. It is that, but so much more. (Full Content Review for Parents - Violence, Profanity, Nudity, etc. - also Available)"
Cinemixtape," November 11, 2016",J. Olson, An amazing true story (Hurrah!) not told very well (Hiss!) - a war movie at war with itself.
The Young Folks," November 11, 2016",Jon Espino, ... Hacksaw Ridge feels like a competent execution by Gibson as he flexes a cinematic muscle that may have come close to atrophying from being unused.
CineXpress," November 10, 2016",Fico Cangiano," Hacksaw Ridge is the best war film since Saving Private Ryan, and Mel Gibson's best direction since Braveheart. Although it takes a while to warm up, when it finally does, the result is impressive and definitely memorable. [Full review in Spanish]"
Sacramento News & Review," November 10, 2016",Jim Lane," It's an incredible tale, superbly told and finely acted by Teresa Palmer as Doss' wife, Hugo Weaving and Rachel Griffiths as his parents, Vince Vaughn as his platoon sergeant, and most of all by Garfield."
Tulsa World," November 10, 2016",Michael Smith," Hacksaw Ridge is beautiful and brutal, and that's a potent combination for a movie about a man determined to serve his country, as well as his soul."
Laramie Movie Scope," November 10, 2016",Robert Roten," While the war scenes are intense, with over-the-top gore, this is not a typical war film. This is a unique film about the horrors of war, pacifism, faith and incredible heroics."
Willamette Week," November 10, 2016",Ben Ferguson," A morally repugnant bloodbath from its shallow, sermonizing first act to its ferociously brutal finale."
Tampa Bay Times," November 10, 2016",Steve Persall," If any filmmaker is ruthless enough to make war truly look like hell, it's Mel Gibson. We saw what he did to Jesus. You can imagine how Gibson cranks the meat grinder with hordes of World War II soldiers, even in tribute to a pacifist."
Vox," November 8, 2016",Alissa Wilkinson," Hacksaw Ridge, the first movie Mel Gibson has directed in a decade, is about as Mel Gibson as you can get: grisly, devout, and patriotic, with a deeply complicated core."
Adelaide Review," November 8, 2016",David 'Mad Dog' Bradley, This is watchable enough if not quite some biopic classic.
"HeraldNet (Everett, WA)"," November 8, 2016",Robert Horton, Gibson's shrewd sense of where the emotional beats are located carries the story through to its end.
4:3," November 7, 2016",Jaymes Durante," Instead of a war film about a brave hero's comeuppance, Gibson has remade his Christ film, this time with his martyr in khaki."
Spirituality and Practice," November 7, 2016",Frederic and Mary Ann Brussat, An adrenaline-charged World War II story revolving around the nonviolence of a Seventh Day Adventist conscientious objector.
"Vue Weekly (Edmonton, Canada)"," January 1, 2017",Brian Gibson," Beatified and blessed by the camera, Doss is another holier-than-thou hero in another of Gibson's violence-as-a-means-to-salvation big-screen sermons."
