time,X_value,Y_value,Z_value
34.707,-3.18777,-9.30944,0.24908
34.763,-3.48954,-9.55373,0.17723
34.804,-5.15169,-8.85199,0.66582
34.863,-3.13269,-9.22322,-0.26106
34.906,-3.26681,-9.21604,-0.13173
34.958,-3.59971,-9.33100,0.25387
35.004,-2.14594,-6.62462,0.16526
35.058,-4.29906,-9.57050,0.50535
35.104,-5.12774,-7.54431,-0.25148
35.156,-2.94587,-12.51637,0.83826
35.204,-3.54942,-9.29986,-0.10778
35.257,-2.15073,-7.97063,-0.35207
35.308,-1.34361,-9.94652,0.24669
35.359,-3.51828,-9.45075,-0.94843
35.404,-1.13524,-9.42680,-0.04311
35.458,-0.70893,-10.25308,-0.20118
35.509,2.32077,-16.94237,-0.22513
35.566,-1.31966,-9.00527,2.78541
35.604,1.98068,-13.74262,0.96759
35.656,-3.96136,-6.05700,1.56395
35.704,3.36979,-10.05429,1.49449
35.756,1.03944,-9.23759,3.56858
35.804,-0.54846,-12.51398,7.17069
35.855,-6.73959,-9.89622,3.39614
35.903,-1.85614,-5.95162,-4.08830
35.957,-2.63931,-5.64506,0.04790
36.004,0.59636,-10.62670,-6.24621
36.053,1.60945,-10.83267,-2.08846
36.109,2.49082,-16.01071,12.29364
36.154,-0.81431,-17.06451,5.83427
36.207,-1.25020,-7.87722,5.43909
36.254,-1.96631,-8.47837,-4.97925
36.324,-0.96759,-7.07249,-0.33291
36.354,-1.03944,-10.04711,1.28134
36.407,0.32333,-12.08048,3.26202
36.463,-1.78668,-9.56810,3.00814
36.509,-2.95306,-9.27112,-4.37331
36.553,-2.48843,-8.41370,-1.70765
36.606,-4.17691,-8.78254,-1.48970
36.654,-1.08494,-9.33339,-0.64905
36.710,-0.84305,-10.41594,0.91490
36.753,-1.36756,-13.28757,-0.05509
36.810,3.98292,-12.31998,3.28836
36.853,-1.35319,-9.90820,-0.58678
36.906,-1.22865,-10.75124,3.41051
36.974,1.14482,-11.34281,-3.42488
37.006,1.97589,-9.62319,0.49098
37.054,-0.26106,-7.97063,1.34600
37.107,0.41194,-7.36229,0.97477
37.154,2.05493,-6.33962,0.84305
37.214,2.24174,-7.19703,2.91953
37.252,0.87897,-10.56922,8.03290
37.305,2.15073,-10.09980,6.59828
37.360,0.12694,-8.88313,1.38911
37.403,-4.21523,-13.57258,1.57113
37.467,0.73527,-11.96073,7.41977
37.503,6.47374,-5.86540,-1.09692
37.558,-9.99921,-12.60020,-3.58295
37.601,3.28836,-8.36341,-0.28740
37.658,-3.10634,-10.00400,0.48619
37.705,-1.78908,-9.78366,0.67779
37.757,-1.65735,-10.03513,1.38911
37.804,-0.96040,-8.73943,-1.51844
37.858,-2.96264,-9.37411,-0.32093
37.902,-2.62973,-11.01949,2.05493
37.956,-0.42392,-10.41833,1.59269
38.008,-1.75555,-11.51046,1.51365
38.056,-1.83459,-12.36788,1.87291
38.107,4.29427,-11.07936,2.17707
38.156,3.06802,-14.24797,0.24190
38.203,-1.22625,-11.31647,-0.12694
38.257,-2.17228,-8.30114,1.97350
38.304,-0.59636,-6.56235,0.80712
38.357,0.71851,-5.75763,0.93645
38.404,0.16526,-5.79355,1.13763
38.455,1.51365,-5.68338,2.56507
38.503,1.08494,-13.40971,10.78956
38.554,1.98068,-10.53090,4.59125
38.606,1.54479,-14.37730,1.75555
38.654,-2.42136,-9.63037,0.53888
38.709,4.24158,-5.74086,-1.24062
38.753,-4.91698,-11.10331,-3.37937
38.807,-1.62143,-10.27463,0.21795
38.857,0.55804,-10.66981,2.83331
38.907,0.13652,-10.35606,3.31710
38.952,-1.61424,-9.15856,-0.20118
39.007,-1.92560,-8.38496,-1.46575
39.055,-0.96759,-8.65800,-1.06818
39.111,-0.32572,-10.27703,1.10171
39.154,-0.11017,-10.78238,2.63931
39.212,-0.63468,-12.33196,0.96998
39.255,-1.89207,-12.08287,3.97573
39.311,4.09069,-10.67221,3.85119
39.365,4.08590,-13.46959,-0.28740
39.412,-1.68849,-13.11273,-0.05269
39.454,-0.85023,-8.92145,0.86460
