time,X_value,Y_value,Z_value
30.039,0.08383,0.00000,9.86509
30.123,0.09101,0.01916,9.87706
30.170,0.09820,0.00719,9.86030
30.218,0.03832,-0.00240,9.84832
30.277,0.08143,0.02635,9.85551
30.288,0.05509,-0.02395,9.86509
30.338,0.03832,0.04311,9.86030
30.396,0.08862,-0.04072,9.84832
30.459,0.04551,0.00958,9.84353
30.519,0.10299,-0.01916,9.86269
30.587,0.08143,-0.02874,9.86509
30.587,0.05748,0.01437,9.86748
30.641,0.09341,-0.04790,9.87706
30.695,0.04311,0.01916,9.84593
30.761,0.09820,-0.00958,9.84353
30.819,0.04072,0.03353,9.86988
30.882,0.07664,-0.00719,9.86030
30.893,0.05748,0.01677,9.85790
30.939,0.05269,-0.00479,9.85311
30.996,0.09580,-0.01437,9.86509
31.072,0.03114,0.03114,9.84114
31.111,0.07185,-0.04790,9.87706
31.171,0.07664,0.04072,9.86988
31.238,0.05030,-0.00719,9.85311
31.238,0.07664,0.00240,9.86509
31.295,0.04790,0.00000,9.84832
31.364,0.09820,-0.01198,9.85551
31.415,0.07425,-0.02156,9.86748
31.470,0.05748,0.03593,9.85551
31.529,0.07425,-0.02156,9.87227
31.541,0.06706,0.03593,9.84832
31.591,0.04790,-0.01437,9.85551
31.652,0.07425,-0.00958,9.85551
31.707,0.04072,0.05030,9.85072
31.766,0.12454,-0.03593,9.87227
31.826,0.04551,-0.01677,9.86509
31.838,0.09820,0.02874,9.87227
31.885,0.06227,-0.02635,9.86509
31.948,0.08383,0.05269,9.85790
32.015,0.10778,-0.04790,9.86509
32.067,0.04072,0.03114,9.86509
32.125,0.08383,-0.00958,9.85311
32.125,0.04072,0.00719,9.85311
32.183,0.07185,0.01437,9.86509
32.243,0.06706,-0.01437,9.85311
32.337,0.07425,0.01437,9.85311
32.362,0.08622,-0.00719,9.86748
32.427,0.06467,0.01677,9.84593
32.427,0.08143,0.00000,9.85551
32.489,0.08622,-0.00719,9.84353
32.547,0.05988,-0.01198,9.86030
32.616,0.07904,0.00958,9.85311
32.667,0.06467,-0.01677,9.86988
32.729,0.06467,0.00240,9.85311
32.778,0.08383,-0.01437,9.86748
32.788,0.04790,0.00240,9.85790
32.844,0.07904,-0.00719,9.84832
32.915,0.06467,-0.00479,9.86509
32.957,0.07664,0.00479,9.86269
33.018,0.07425,-0.00240,9.86988
33.084,0.05748,-0.00240,9.87467
33.084,0.07904,-0.01916,9.85790
33.137,0.06227,0.01677,9.84114
33.208,0.09101,-0.02635,9.86988
33.256,0.07185,-0.00479,9.86030
33.323,0.07425,-0.00240,9.85551
33.382,0.06946,-0.05988,9.88904
33.382,0.05748,0.05269,9.83874
33.441,0.08383,-0.00719,9.85790
33.515,0.05269,0.03593,9.85551
33.553,0.04311,0.01198,9.84353
33.613,0.07185,0.01437,9.86269
33.672,0.05509,0.02874,9.85072
33.683,0.10299,0.00958,9.84593
33.736,0.06467,0.01198,9.86030
33.795,0.05269,0.00000,9.86509
33.865,0.07425,0.01198,9.85790
33.910,0.07185,-0.00958,9.85311
33.975,0.05748,0.00719,9.86509
34.034,0.05269,-0.01916,9.86269
34.046,0.08143,0.00719,9.85311
34.089,0.07664,0.00479,9.86988
34.149,0.08143,-0.01198,9.85551
34.222,0.09341,0.00240,9.84832
34.276,0.04790,0.00479,9.86269
34.329,0.08383,0.00000,9.85790
34.329,0.05748,-0.00240,9.87467
34.399,0.07185,-0.01916,9.86030
34.452,0.06946,-0.00479,9.86030
34.505,0.05269,0.01677,9.86509
34.573,0.09580,0.00719,9.86030
34.624,0.05748,-0.00719,9.84832
34.624,0.07904,-0.00240,9.85311
34.699,0.05509,0.00240,9.85311
34.744,0.06467,-0.00479,9.86748
34.804,0.07185,-0.00479,9.86509
34.863,0.06706,0.01198,9.86988
34.923,0.06467,-0.00479,9.85311
34.923,0.07185,-0.00958,9.85790
34.987,0.07425,0.00240,9.85790
35.057,0.06227,-0.00719,9.85311
35.105,0.06467,-0.00240,9.87706
35.161,0.08622,-0.00479,9.85790
35.220,0.06227,-0.00240,9.86269
35.282,0.05748,-0.01198,9.85551
35.282,0.07185,0.02635,9.86030
35.340,0.07185,-0.01198,9.86269
35.399,0.06946,0.03593,9.86269
35.459,0.05748,0.01916,9.85072
35.521,0.06227,-0.01677,9.85311
