Record Number,"NYC Borough, Block, and Lot (BBL)",Co-reported BBL Status,BBLs Co-reported,Reported NYC Building Identificaiton Numbers (BINs),Street Number,Street Name,Borough,Zip Code,DOF Benchmarking Submission Status,Site EUI(kBtu/ft2),Weather Normalized Site EUI(kBtu/ft2),Source EUI(kBtu/ft2),Weather Normalized Source EUI(kBtu/ft2),Municipally Supplied Potable Water - Indoor Intensity (gal/ft²),Automatic Water Benchmarking Eligible,Reported Water Method,ENERGY STAR Score,Total GHG Emissions(MtCO2e),Direct GHG Emissions(MtCO2e),Indirect GHG Emissions(MtCO2e),Reported Property Floor Area (Building(s)) (ft²),DOF Property Floor Area (Buildngs and Parking)(ft2),Primary Property Type - Self Selected,DOF Number of Buildings
4960,1021360225,,1021360225,1063345,652,WEST  163 STREET,Manhattan,10032,Filed,102.1,93.5,138.9,130.1,Not Available,No,None,Not Available,481.4,396.7,84.7,62238,59274,Multifamily Housing,1
4961,1021360235,,1021360235,1063346,99,FT WASHINGTON AVENUE,Manhattan,10032,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,264.5,,293550,304849,Multifamily Housing,1
4964,1021370011,,1-02137-0011,1063350,3841,BROADWAY,Manhattan,10032,Filed,76.900000000000006,76.9,102.1,101.9,Not Available,Yes,None,Not Available,633.20000000000005,531.9,101.3,109022,109022,Multifamily Housing,1
4965,1021370014,,1021370014,1063351,3851,BROADWAY,Manhattan,10032,Filed,116.5,Not Available,145.5,Not Available,42.65,No,Manual,Not Available,920.3,809,111.3,105000,105000,Multifamily Housing,1
4966,1021370040,,1-02137-0040,1063357,80,FT WASHINGTON AVENUE,Manhattan,10032,Filed,131.5,131.5,170.1,170.1,Not Available,Yes,ABS,Not Available,662.1,566.1,96,68838,68838,Multifamily Housing,1
4967,1021370046,,1-02137-0046,1063358,66,FT WASHINGTON AVENUE,Manhattan,10032,Filed,107.9,109.4,141.4,142.9,Not Available,Yes,ABS,Not Available,519.70000000000005,438.1,81.599999999999994,68178,68178,Multifamily Housing,1
4968,1021370052,,1-02137-0052,1063359,56,FT WASHINGTON AVENUE,Manhattan,10032,Filed,50.7,50.6,74.400000000000006,74.2,Not Available,Yes,ABS,Not Available,214.1,154.69999999999999,59.4,71963,55302,Multifamily Housing,1
4969,1021370058,,1021370058,1063360,46,FT WASHINGTON AVENUE,Manhattan,10032,Filed,126.2,128.7,152.30000000000001,154.9,Not Available,No,None,Not Available,606.70000000000005,546.4,60.3,64047,64074,Multifamily Housing,1
4970,1021370065,,1021370065,1063361,38,FT WASHINGTON AVENUE,Manhattan,10032,Filed,126.5,129.4,162.5,165.2,Not Available,No,None,Not Available,503,433.1,69.900000000000006,53202,53202,Multifamily Housing,1
4971,1021370080,,1021370080,1063363,3885,BROADWAY,Manhattan,10032,Filed,137.1,Not Available,172.7,Not Available,92.61,No,Manual,Not Available,740.8,647.6,93.2,71730,71730,Multifamily Housing,1
4972,1021370091,,1-02137-0091,1063365,86,FT WASHINGTON AVENUE,Manhattan,10032,Filed,121.9,121.6,163.1,162.9,Not Available,Yes,ABS,Not Available,667.7,557.79999999999995,109.9,72090,72090,Multifamily Housing,1
4973,1021370110,,1-02137-0110,1063366,3901,BROADWAY,Manhattan,10032,Filed,92,91.9,140.30000000000001,140,Not Available,No,None,Not Available,477.6,354.1,123.5,68310,58269,Multifamily Housing,1
4974,1021370119,,1021370119,1063369,100,FT WASHINGTON AVENUE,Manhattan,10032,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,,65.7,87837,65388,Multifamily Housing,1
