Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
Comfort Inn By the Bay,2775 VAN NESS AVE,94123,107743,,61,45,,45,,64,46.4,95.7,45.5,94.4,66,43.1,86.3,43.2,86.6,67,39,81.5,39.4,82.8,,,,,
650 Townsend - Zynga,699 8TH ST,94103,937770,Office,76,63.9,,63.9,,86,75.9,241.9,76.5,243.8,,,,,,83,68.6,205.5,68.6,205.5,83,69.6,208.2,69.6,208.2
Swinerton Headquarters,260 TOWNSEND ST,94107,66943,,65,80.2,,69.3,,66,74.3,200.1,74.3,200.1,,,,,,,,,,,,,,,
530 Howard St,530 HOWARD ST,94105,25955,Office,,,,,,78,51,110.4,51.7,111.2,79,49,101.2,49.3,101.5,80,43.2,94.9,48.1,100.1,83,44.4,91.6,46.4,93.8
22 Battery,22 BATTERY ST,94111,73640,Office,59,72.4,,68.1,,59,69.1,158.7,67.6,157.2,80,58.4,136.8,59,137.5,83,52.1,131.2,56.9,136.2,81,54.6,138.4,55.5,138.3
300 Broadway Street,300 BROADWAY,94133,43563,Office,,,,,,,63.7,108.8,57,101.9,82,52,92,52,92,87,37.5,79.9,41.6,84.2,89,40.6,78.5,44.5,82.6
Project Open Hand,730 POLK ST,94109,57649,Office,,139,,139,,,91.5,203,93.9,210.2,,90.3,191.3,90.4,191.5,,95.1,201.5,96.6,203,,95.4,201.9,95.4,201.9
Seven Tepees Youth Program,3175 17TH ST,94110,14000,Other - Education,,,,,,,,,,,,12.9,40.5,12.9,40.5,,10.1,31.8,10.1,31.8,,13.6,42.7,13.6,42.7
Self-Help for the Elderly,407 SANSOME ST,94111,14300,,,,,,,,,,,,,,,,,,,,,,,,,,
640 Sacramento Street,640 SACRAMENTO ST,94111,28051,Office,,,,,,,131.9,264.2,133.6,266,19,132.2,251.1,132.2,251.1,27,120.1,219,120.1,219,29,121.4,218.8,122.8,220.2
945 FRONT ST,945 FRONT ST,94111,22225,Office,,,,,,,,,,,,,,,,,,,,,100,-0.4,-1.3,-0.6,-1.9
