store,coupon,discount,total
C.O. Bigelow,2 Coupons,5.0% Cash Back,"$4,411 "
Cabela's,4 Coupons,1.0% Cash Back,"$617,694 "
Caesars Palace Las Vegas,7 Coupons,2.5% Cash Back,
Cafe Britt,3 Coupons,5.0% Cash Back,
Cafe Press,9 Coupons,1.0% Cash Back,"$195,299 "
Calendars.com,4 Coupons,7.5% Cash Back,"$69,960 "
Callaway Apparel,9 Coupons,4.0% Cash Back,"$1,904 "
Callaway Golf,2 Coupons,3.5% Cash Back,
Callaway Golf Preowned,3 Coupons,4.25% Cash Back,
Calvin Klein,12 Coupons,3.5% Cash Back,"$111,088 "
Calypso St. Barth,5 Coupons,3.0% Cash Back,
Cambria Suites,No Coupons Available,2.5% Cash Back,"$3,169 "
Cameta Camera,2 Coupons,2.5% Cash Back,
Camping World,21 Coupons,2.5% Cash Back,"$45,103 "
CampingMaxx,No Coupons Available,5.0% Cash Back,
Campmor,18 Coupons,5.0% Cash Back,"$68,956 "
Candlewood Suites,3 Coupons,4.5% Cash Back,
Canon,4 Coupons,Up to 2.5%,
Canvas on Demand,1 Coupon,2.5% Cash Back,"$20,440 "
CanvasDiscount.com,7 Coupons,8.0% Cash Back,
Capalbo's Gift Baskets,2 Coupons,5.0% Cash Back,"$10,826 "
Carbonite,7 Coupons,7.5% Cash Back,
CarCovers.com,1 Coupon,10.0% Cash Back,
Carhartt,6 Coupons,4.0% Cash Back,
Carl's Golfland,8 Coupons,2.0% Cash Back,
Carol's Daughter,6 Coupons,4.0% Cash Back,"$57,255 "
Carole Hochman,5 Coupons,6.0% Cash Back,
Carolee,2 Coupons,6.0% Cash Back,
Carousel Checks,No Coupons Available,3.25% Cash Back,"$7,070 "
CarParts.com,5 Coupons,3.0% Cash Back,"$9,661 "
CarRentals.com,16 Coupons,1.5% Cash Back,"$167,202 "
Carsons,32 Coupons,2.0% Cash Back,"$84,499 "
Carter's,3 Coupons,2.5% Cash Back,"$1,965,949 "
CartoonNetworkShop.com,2 Coupons,3.5% Cash Back,
Casa.com,6 Coupons,1.0% Cash Back,"$5,775 "
Case-Mate,17 Coupons,7.5% Cash Back,"$13,274 "
Casual Male XL,4 Coupons,3.0% Cash Back,"$46,648 "
CAT Footwear,2 Coupons,4.0% Cash Back,"$2,017 "
Cate & Chloe,3 Coupons,7.5% Cash Back,"$1,442 "
Catherines,5 Coupons,3.0% Cash Back was 2.5%,"$109,546 "
The Catholic Company,1 Coupon,5.0% Cash Back,"$5,911 "
Caudalie,2 Coupons,5.0% Cash Back,"$2,195 "
Caviar,4 Coupons,2.0% Cash Back,
CB2,4 Coupons,1.0% Cash Back,
Cellular Country,6 Coupons,3.5% Cash Back,
Cellular Outfitter,8 Coupons,6.0% Cash Back,"$12,418 "
Century 21 Department Stores,97 Coupons,3.0% Cash Back,
Century Novelty,3 Coupons,6.0% Cash Back,
Chaco,6 Coupons,4.0% Cash Back,"$10,232 "
Chain Reaction Cycles,1 Coupon,1.5% Cash Back,"$7,720 "
Champion USA,11 Coupons,3.0% Cash Back,"$49,916 "
Champs Sports,7 Coupons,5.0% Cash Back was 2.5%,"$202,823 "
chapters.indigo.ca,50 Coupons,Up to 5.0%,"$10,691 "
Charles Tyrwhitt,7 Coupons,4.0% Cash Back,
Charlotte Russe,31 Coupons,2.0% Cash Back,"$141,610 "
charming charlie,2 Coupons,1.0% Cash Back,"$13,412 "
CheapAir.com,2 Coupons,Up to $4.00,"$8,634 "
CheapCaribbean,25 Coupons,1.5% Cash Back,
CheapOair,26 Coupons,Up to $12.50,
CheapTickets,14 Coupons,Up to 5.0%,
Checks in the Mail,9 Coupons,12.0% Cash Back,"$75,802 "
Checks SuperStore,3 Coupons,12.5% Cash Back,"$11,555 "
Checks Unlimited,6 Coupons,10.0% Cash Back,"$31,417 "
Chegg,2 Coupons,Up to 3.0%,"$262,033 "
Cherishables,4 Coupons,7.5% Cash Back,"$1,196 "
Cherrybrook,3 Coupons,4.0% Cash Back,
Cheryl's,9 Coupons,5.0% Cash Back,"$209,049 "
Chicco Shop,2 Coupons,3.0% Cash Back,
Chico's,6 Coupons,1.5% Cash Back,"$281,741 "
The Children's Place,7 Coupons,1.5% Cash Back,"$1,209,583 "
Chinese Laundry,1 Coupon,5.0% Cash Back,"$7,403 "
Choice Hotels,24 Coupons,2.5% Cash Back,
Choies.com,27 Coupons,6.0% Cash Back,"$2,982 "
Chrislie,8 Coupons,3.0% Cash Back,
Christopher and Banks,9 Coupons,3.0% Cash Back,"$102,159 "
